,Normalized_LunchADP,Normalized_FreeRedcElig,Normalized_LunchTotal,clusters
6865,0.0,0.0,0.0,1
6872,0.0,100.0,0.0,1
6876,42.67213114754099,100.0,725.4098360655738,0
6886,0.0,0.0,0.0,1
6889,0.0,0.0,0.0,1
6893,0.0,0.0,0.0,1
6899,0.0,0.0,0.0,1
6903,0.0,0.0,0.0,1
6904,0.0,0.0,0.0,1
6906,0.0,0.0,0.0,1
6912,0.0,0.0,0.0,1
6916,0.0,0.0,0.0,1
6917,0.0,0.0,0.0,1
6920,33.52566964285714,3.3482142857142856,603.4598214285714,1
6926,58.57276995305165,73.70892018779342,995.774647887324,0
6928,85.17748917748918,100.0,1788.7445887445888,0
6929,0.0,0.0,0.0,1
6936,0.0,0.0,0.0,1
6944,87.44827586206895,100.0,1399.1379310344828,0
6947,0.0,59.66850828729282,0.0,1
6948,0.0,0.0,0.0,1
6949,0.0,0.0,0.0,1
6954,0.0,0.0,0.0,1
6961,17.619565217391305,48.91304347826087,334.7826086956522,1
6962,0.0,0.0,0.0,1
6966,72.92733564013841,80.27681660899654,1239.7923875432525,0
6971,0.0,0.0,0.0,1
6974,88.8326359832636,100.0,1421.3389121338912,0
6976,0.0,0.0,0.0,1
6977,33.755847953216374,13.157894736842104,607.6023391812865,1
6978,0.0,0.0,0.0,1
6980,61.205882352941174,2.941176470588235,1040.4411764705883,0
6984,0.0,0.0,0.0,1
6986,89.88235294117646,94.53781512605042,1168.487394957983,0
6987,87.47302904564316,100.0,1836.9294605809127,0
6988,0.0,61.111111111111114,0.0,1
6989,26.656862745098042,87.25490196078431,426.4705882352941,1
6994,0.0,0.0,0.0,1
7002,0.0,0.0,0.0,1
7011,0.0,0.0,0.0,1
7012,0.0,0.0,0.0,1
7013,78.06451612903226,100.0,2341.935483870968,2
7020,0.0,0.0,0.0,1
7023,0.0,0.0,0.0,1
7029,0.0,0.0,0.0,1
7031,0.0,0.0,0.0,1
7033,0.0,0.0,0.0,1
7034,46.48231511254019,33.440514469453376,743.7299035369775,0
7037,0.0,0.0,0.0,1
7038,78.35393258426966,100.0,1332.0224719101122,0
7048,0.0,17.52136752136752,0.0,1
7055,0.0,0.0,0.0,1
7056,0.0,0.0,0.0,1
7060,0.0,0.0,0.0,1
7062,52.61,40.75,841.75,0
7066,9.384879725085911,19.243986254295535,150.17182130584192,1
7070,48.275862068965516,75.86206896551724,1448.2758620689656,0
7072,0.0,0.0,0.0,1
7075,0.0,0.0,0.0,1
7076,0.0,0.0,0.0,1
7082,0.0,0.0,0.0,1
7098,0.0,0.0,0.0,1
7107,0.0,0.0,0.0,1
7108,0.0,0.0,0.0,1
7109,0.0,0.0,0.0,1
7116,0.0,0.0,0.0,1
7118,0.0,0.0,0.0,1
